Timestamp,University,Gender,Current academic year,G.P.A value,sports,Number of practice days per week 
2018/05/22 10:22:46 PM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.5,No,
2018/05/22 10:24:09 PM GMT+5:30,University of Moratuwa,Female,3rd year,3.46,Yes,3 days
2018/05/22 10:25:07 PM GMT+5:30,University of Colombo,Male,Graduated,3.02,Yes,3 days
2018/05/22 10:26:16 PM GMT+5:30,University of Moratuwa,Female,3rd year,3.2,No,
2018/05/22 10:26:42 PM GMT+5:30,University of Colombo,Female,Graduated,3.2,No,
2018/05/22 10:26:50 PM GMT+5:30,University of Moratuwa,Female,Graduated,3.73,No,
2018/05/22 10:29:21 PM GMT+5:30,University of Moratuwa,Female,4th year,3.33,Yes,3 days
2018/05/22 10:33:21 PM GMT+5:30,University of Colombo,Male,Graduated,2.98,No,
2018/05/22 10:34:45 PM GMT+5:30,University of Colombo,Male,Graduated,2.7,Yes,more than 3 days
2018/05/22 10:44:36 PM GMT+5:30,University of Moratuwa,Male,4th year,2.99,No,
2018/05/22 10:46:31 PM GMT+5:30,University of Colombo,Male,Graduated,3.83,Yes,more than 3 days
2018/05/22 10:50:11 PM GMT+5:30,University of Colombo,Male,Graduated,3.43,Yes,3 days
2018/05/22 10:56:17 PM GMT+5:30,University of Moratuwa,Male,Graduated,3.3,No,
2018/05/22 11:08:43 PM GMT+5:30,University of Peradeniya,Male,Graduated,2.75,Yes,3 days
2018/05/22 11:17:00 PM GMT+5:30,University of Colombo,Male,3rd year,2,No,
2018/05/23 12:56:49 AM GMT+5:30,University of Colombo,Male,Graduated,3.9,Yes,more than 3 days
2018/05/23 4:04:01 AM GMT+5:30,University of Colombo,Female,Graduated,3.72,No,
2018/05/23 6:21:56 AM GMT+5:30,University of Colombo,Male,Graduated,3.13,Yes,3 days
2018/05/23 6:48:23 AM GMT+5:30,University of Moratuwa,Female,Graduated,3.32,Yes,more than 3 days
2018/05/23 6:52:34 AM GMT+5:30,University of Colombo,Male,Graduated,3.03,Yes,3 days
2018/05/23 6:53:35 AM GMT+5:30,University of Colombo,Female,4th year,3.62,No,
2018/05/23 7:03:10 AM GMT+5:30,University of Moratuwa,Female,Graduated,3.5,Yes,more than 3 days
